================================================================================
ROTAX 914 INTEGRATION AUDIT REPORT
================================================================================

1. AUDIT SUMMARY
--------------------------------------------------
This is a post-integration audit of the Rotax 914 engine configuration.
No project code or configuration files were modified during this audit phase.
The physical configuration successfully leverages values mapped from authoritative sources.
All files and dependencies have been thoroughly inspected.

2. PROJECT ARCHITECTURE
--------------------------------------------------
Engine configuration: configs/module02/engines/rotax_914.yaml
Config Loader: src/module02/config/config_loader.py
Physical Simulator: src/module02/simulation/thermodynamic_engine_runner.py
Backend Server: app/server.py
Master Integration Runner: src/module02/integration/integration_runner.py
Digital Twin: src/digital_twin/services/twin_engine.py

3. ROTAX PARAMETER AUDIT
--------------------------------------------------
| Parameter | Current Value | Unit | Classification | Source | Changed? |
|-----------|---------------|------|----------------|--------|----------|
| engine_type | 4-STROKE_RECIPROCATING_GASOLINE | TEXT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| fuel_type | GASOLINE_AVGAS_UNLEADED | TEXT | VERIFIED (REPORTED) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| cooling_type | LIQUID_COOLED_HEADS_AIR_COOLED_BARRELS | TEXT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| aspiration | TURBOCHARGED | TEXT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| control_system | TCU_AUTOMATIC_WASTEGATE | TEXT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| cylinder_count | 4 | COUNT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| ignition_system | DUAL_ELECTRONIC_BREAKERLESS_CDI | TEXT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| fuel_system | DUAL_CONSTANT_DEPRESSION_CARBURETORS | TEXT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| takeoff_rated_power_hp | 115.0 | HP | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| takeoff_rated_power_w | 84500.0 | WATT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| rated_rpm | 5800.0 | RPM | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| idle_rpm | 1400.0 | RPM | ESTIMATED (ESTIMATED) | USER_PROVIDED_ROTAX_914_ENGINEERING_BASELINE | No |
| max_indicated_torque_n_m | 165.0 | NEWTON_METER | ESTIMATED (ESTIMATED) | DERIVED_FROM_144NM_BRAKE_TORQUE | No |
| continuous_rated_power_w | 73500.0 | WATT | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
| continuous_rated_rpm | 5500.0 | RPM | VERIFIED (OFFICIAL) | USER_PROVIDED_ROTAX_914_SPECIFICATION | No |
