==================================================
1. INSPECT THE ACTUAL CURRENT PROJECT
==================================================
Project state after Rotax 914 integration:
- configs/module02/engines/rotax_914.yaml: Updated with verified values from canonical engineering specification (15 changes).
- physical engine model (src/module02/simulation/thermodynamic_engine_runner.py): Uses the new config constants without modification. No physical structural code changes were made.
- app/server.py: No structural changes. Operates as read-only on physical state.
- digital_twin/services/twin_engine.py: Unmodified. Extracts validated telemetry.
- Scripts: update_yaml.py was created and executed to systematically insert the Rotax changes.
==================================================
2. CREATE ONE COMPLETE AUDIT FILE
==================================================
This document is ROTAX_914_FINAL_AUDIT.txt in plain text.
==================================================
3. ENGINE PARAMETER AUDIT
==================================================
| Parameter | Supplied Value | Current Project Value | Unit | Classification | Source | Verification Evidence | Changed? | Previous Value | Final Value | Confidence | Notes |
|-----------|----------------|-----------------------|------|----------------|--------|-----------------------|----------|----------------|-------------|------------|-------|
| engine_type | N/A | 4-STROKE_RECIPROCATING_GASOLINE | TEXT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 4-STROKE_RECIPROCATING_GASOLINE | 4-STROKE_RECIPROCATING_GASOLINE | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| fuel_type | N/A | GASOLINE_AVGAS_UNLEADED | TEXT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | GASOLINE_AVGAS_UNLEADED | GASOLINE_AVGAS_UNLEADED | HIGH | REPORTED -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| cooling_type | N/A | LIQUID_COOLED_HEADS_AIR_COOLED_BARRELS | TEXT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | LIQUID_COOLED_HEADS_AIR_COOLED_BARRELS | LIQUID_COOLED_HEADS_AIR_COOLED_BARRELS | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| aspiration | N/A | TURBOCHARGED | TEXT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | TURBOCHARGED | TURBOCHARGED | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| control_system | N/A | TCU_AUTOMATIC_WASTEGATE | TEXT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | TCU_AUTOMATIC_WASTEGATE | TCU_AUTOMATIC_WASTEGATE | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| cylinder_count | N/A | 4 | COUNT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 4 | 4 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| ignition_system | N/A | DUAL_ELECTRONIC_BREAKERLESS_CDI | TEXT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | DUAL_ELECTRONIC_BREAKERLESS_CDI | DUAL_ELECTRONIC_BREAKERLESS_CDI | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| fuel_system | N/A | DUAL_CONSTANT_DEPRESSION_CARBURETORS | TEXT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | DUAL_CONSTANT_DEPRESSION_CARBURETORS | DUAL_CONSTANT_DEPRESSION_CARBURETORS | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| takeoff_rated_power_hp | N/A | 115.0 | HP | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 115.0 | 115.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| takeoff_rated_power_w | N/A | 84500.0 | WATT | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 84500.0 | 84500.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| rated_rpm | N/A | 5800.0 | RPM | VERIFIED | USER_PROVIDED_ROTAX_914_SPECIFICATION | Canonical Rotax Spec | No | 5800.0 | 5800.0 | HIGH | OFFICIAL -> Treated as VERIFIED because it originates from the manufacturer's specification. |
| idle_rpm | N/A | 1400.0 | RPM | ESTIMATED | USER_PROVIDED_ROTAX_914_ENGINEERING_BASELINE | None | No | 1400.0 | 1400.0 | MEDIUM | Direct mapping. |
